Date,risk_free_rate
2020-10-30,2.4444444444444445e-05
2020-11-02,2.4166666666666663e-05
2020-11-03,2.5000000000000005e-05
2020-11-04,2.1666666666666667e-05
2020-11-05,2.1944444444444445e-05
2020-11-06,2.3055555555555554e-05
2020-11-09,2.6666666666666663e-05
2020-11-10,2.7222222222222223e-05
2020-11-12,2.4444444444444445e-05
2020-11-13,2.4722222222222223e-05
2020-11-16,2.527777777777778e-05
2020-11-17,2.4166666666666663e-05
2020-11-18,2.4444444444444445e-05
2020-11-19,2.388888888888889e-05
2020-11-20,2.3055555555555554e-05
2020-11-23,2.388888888888889e-05
2020-11-24,2.4444444444444445e-05
2020-11-25,2.4444444444444445e-05
2020-11-27,2.3333333333333332e-05
2020-11-30,2.3333333333333332e-05
2020-12-01,2.5555555555555554e-05
2020-12-02,2.638888888888889e-05
2020-12-03,2.5555555555555554e-05
2020-12-04,2.6944444444444445e-05
2020-12-07,2.6111111111111107e-05
2020-12-08,2.5555555555555554e-05
2020-12-09,2.638888888888889e-05
2020-12-10,2.5555555555555554e-05
2020-12-11,2.5000000000000005e-05
2020-12-14,2.5000000000000005e-05
2020-12-15,2.5555555555555554e-05
2020-12-16,2.5555555555555554e-05
2020-12-17,2.6111111111111107e-05
2020-12-18,2.638888888888889e-05
2020-12-21,2.638888888888889e-05
2020-12-22,2.5833333333333336e-05
2020-12-23,2.6666666666666663e-05
2020-12-24,2.6111111111111107e-05
2020-12-28,2.6111111111111107e-05
2020-12-29,2.6111111111111107e-05
2020-12-30,2.5833333333333336e-05
2020-12-31,2.5833333333333336e-05
2021-01-04,2.5833333333333336e-05
2021-01-05,2.6666666666666663e-05
2021-01-06,2.8888888888888888e-05
2021-01-07,3e-05
2021-01-08,3.1388888888888885e-05
2021-01-11,3.194444444444444e-05
2021-01-12,3.194444444444444e-05
2021-01-13,3.055555555555556e-05
2021-01-14,3.194444444444444e-05
2021-01-15,3.0833333333333335e-05
2021-01-19,3.055555555555556e-05
2021-01-20,3.055555555555556e-05
2021-01-21,3.111111111111112e-05
2021-01-22,3.055555555555556e-05
2021-01-25,2.916666666666667e-05
2021-01-26,2.916666666666667e-05
2021-01-27,2.8888888888888888e-05
2021-01-28,2.9722222222222226e-05
2021-01-29,3.0833333333333335e-05
2021-02-01,3.027777777777778e-05
2021-02-02,3.111111111111112e-05
2021-02-03,3.194444444444444e-05
2021-02-04,3.194444444444444e-05
2021-02-05,3.3055555555555553e-05
2021-02-08,3.3055555555555553e-05
2021-02-09,3.277777777777778e-05
2021-02-10,3.194444444444444e-05
2021-02-11,3.222222222222222e-05
2021-02-12,3.3333333333333335e-05
2021-02-16,3.6111111111111116e-05
2021-02-17,3.5833333333333335e-05
2021-02-18,3.5833333333333335e-05
2021-02-19,3.722222222222222e-05
2021-02-22,3.805555555555556e-05
2021-02-23,3.805555555555556e-05
2021-02-24,3.8333333333333334e-05
2021-02-25,4.277777777777778e-05
2021-02-26,3.9999999999999996e-05
2021-03-01,4.027777777777778e-05
2021-03-02,3.944444444444444e-05
2021-03-03,4.0833333333333334e-05
2021-03-04,4.277777777777778e-05
2021-03-05,4.3333333333333334e-05
2021-03-08,4.416666666666667e-05
2021-03-09,4.305555555555555e-05
2021-03-10,4.25e-05
2021-03-11,4.277777777777778e-05
2021-03-12,4.555555555555555e-05
2021-03-15,4.500000000000001e-05
2021-03-16,4.500000000000001e-05
2021-03-17,4.527777777777777e-05
2021-03-18,4.75e-05
2021-03-19,4.833333333333333e-05
2021-03-22,4.694444444444444e-05
2021-03-23,4.527777777777777e-05
2021-03-24,4.500000000000001e-05
2021-03-25,4.527777777777777e-05
2021-03-26,4.638888888888889e-05
2021-03-29,4.805555555555555e-05
2021-03-30,4.805555555555555e-05
2021-03-31,4.833333333333333e-05
2021-04-01,4.694444444444444e-05
2021-04-02,4.777777777777778e-05
2021-04-05,4.805555555555555e-05
2021-04-06,4.638888888888889e-05
2021-04-07,4.6666666666666665e-05
2021-04-08,4.555555555555555e-05
2021-04-09,4.638888888888889e-05
2021-04-12,4.694444444444444e-05
2021-04-13,4.555555555555555e-05
2021-04-14,4.555555555555555e-05
2021-04-15,4.3333333333333334e-05
2021-04-16,4.416666666666667e-05
2021-04-19,4.472222222222222e-05
2021-04-20,4.388888888888889e-05
2021-04-21,4.3611111111111116e-05
2021-04-22,4.3611111111111116e-05
2021-04-23,4.388888888888889e-05
2021-04-26,4.388888888888889e-05
2021-04-27,4.527777777777777e-05
2021-04-28,4.527777777777777e-05
2021-04-29,4.5833333333333334e-05
2021-04-30,4.5833333333333334e-05
2021-05-03,4.527777777777777e-05
2021-05-04,4.472222222222222e-05
2021-05-05,4.416666666666667e-05
2021-05-06,4.388888888888889e-05
2021-05-07,4.4444444444444447e-05
2021-05-10,4.527777777777777e-05
2021-05-11,4.555555555555555e-05
2021-05-12,4.694444444444444e-05
2021-05-13,4.611111111111111e-05
2021-05-14,4.527777777777777e-05
2021-05-17,4.555555555555555e-05
2021-05-18,4.555555555555555e-05
2021-05-19,4.6666666666666665e-05
2021-05-20,4.527777777777777e-05
2021-05-21,4.527777777777777e-05
2021-05-24,4.472222222222222e-05
2021-05-25,4.3333333333333334e-05
2021-05-26,4.388888888888889e-05
2021-05-27,4.472222222222222e-05
2021-05-28,4.388888888888889e-05
2021-06-01,4.500000000000001e-05
2021-06-02,4.416666666666667e-05
2021-06-03,4.527777777777777e-05
2021-06-04,4.3333333333333334e-05
2021-06-07,4.3611111111111116e-05
2021-06-08,4.25e-05
2021-06-09,4.1666666666666665e-05
2021-06-10,4.027777777777778e-05
2021-06-11,4.0833333333333334e-05
2021-06-14,4.194444444444445e-05
2021-06-15,4.194444444444445e-05
2021-06-16,4.3611111111111116e-05
2021-06-17,4.222222222222222e-05
2021-06-18,4.027777777777778e-05
2021-06-21,4.1666666666666665e-05
2021-06-22,4.1111111111111116e-05
2021-06-23,4.1666666666666665e-05
2021-06-24,4.138888888888889e-05
2021-06-25,4.277777777777778e-05
2021-06-28,4.138888888888889e-05
2021-06-29,4.138888888888889e-05
2021-06-30,4.027777777777778e-05
2021-07-01,4.1111111111111116e-05
2021-07-02,3.9999999999999996e-05
2021-07-06,3.805555555555556e-05
2021-07-07,3.694444444444445e-05
2021-07-08,3.6111111111111116e-05
2021-07-09,3.805555555555556e-05
2021-07-12,3.8333333333333334e-05
2021-07-13,3.944444444444444e-05
2021-07-14,3.805555555555556e-05
2021-07-15,3.638888888888889e-05
2021-07-16,3.638888888888889e-05
